observation_date,LREM25FEUSM156N
1960-01-01,39.1987844432107
1960-02-01,39.6786913976924
1960-03-01,39.7629058631161
1960-04-01,41.0998890770039
1960-05-01,41.7199217952085
1960-06-01,41.1586255177644
1960-07-01,40.4286339116489
1960-08-01,40.1626442812172
1960-09-01,41.8917737564472
1960-10-01,41.6494304774667
1960-11-01,41.6285905532435
1960-12-01,40.5601116733554
1961-01-01,39.7076346304746
1961-02-01,39.9506101104009
1961-03-01,40.9857968573005
1961-04-01,40.9969806062014
1961-05-01,41.6270025539819
1961-06-01,41.1587223302098
1961-07-01,39.6392216003016
1961-08-01,39.3975414588890
1961-09-01,40.5495492884264
1961-10-01,41.8086462679648
1961-11-01,41.2039048694997
1961-12-01,40.6776715899218
1962-01-01,40.1418645049218
1962-02-01,40.8526526005036
1962-03-01,41.1492390486662
1962-04-01,41.2758028357644
1962-05-01,41.7893940275918
1962-06-01,40.9264162471995
1962-07-01,40.0197484970813
1962-08-01,40.3820472623817
1962-09-01,41.9542064482428
1962-10-01,42.2877201125584
1962-11-01,41.8280941886092
1962-12-01,41.3207328385900
1963-01-01,40.4688767821954
1963-02-01,41.1860134998117
1963-03-01,41.8174973212476
1963-04-01,42.5047767934688
1963-05-01,42.7930275654390
1963-06-01,41.6770384092159
1963-07-01,40.6409069875058
1963-08-01,40.3526011560694
1963-09-01,42.0187725631769
1963-10-01,43.1953346036145
1963-11-01,43.1589275922773
1963-12-01,42.3934681630651
1964-01-01,41.1949594855676
1964-02-01,41.7572280995071
1964-03-01,42.1399959655341
1964-04-01,42.9283327572301
1964-05-01,43.6161022805805
1964-06-01,42.4891345019140
1964-07-01,41.0967574877003
1964-08-01,41.1872986654395
1964-09-01,42.3087981598620
1964-10-01,43.1708438721545
1964-11-01,42.9995690274386
1964-12-01,43.0737857942959
1965-01-01,42.2213288922070
1965-02-01,42.5352355254471
1965-03-01,42.8964963126632
1965-04-01,43.3017785427424
1965-05-01,43.7383499182702
1965-06-01,43.2433207201009
1965-07-01,42.3739519926496
1965-08-01,42.1842709529277
1965-09-01,43.3735976816917
1965-10-01,44.4058852209826
1965-11-01,44.3890131314869
1965-12-01,44.3969964461768
1966-01-01,43.3429791135432
1966-02-01,43.6459974223113
1966-03-01,43.8756227452328
1966-04-01,44.3118399587877
1966-05-01,44.6958860216284
1966-06-01,43.8486616334935
1966-07-01,43.0576598725022
1966-08-01,43.0036567249457
1966-09-01,45.3546139789858
1966-10-01,46.1819427006050
1966-11-01,46.5989789806919
1966-12-01,46.0310674077241
1967-01-01,44.6963655007406
1967-02-01,44.9998576674542
1967-03-01,44.8560373278707
1967-04-01,45.3405374662306
1967-05-01,45.3096137997670
1967-06-01,44.2444204668067
1967-07-01,43.8627851549200
1967-08-01,44.0790218498811
1967-09-01,45.7658269007832
1967-10-01,46.8841807909604
1967-11-01,46.8999576689714
1967-12-01,47.2017818376611
1968-01-01,45.3848970509534
1968-02-01,46.0744034218820
1968-03-01,46.3324805307993
1968-04-01,46.3962698724791
1968-05-01,47.0423167583343
1968-06-01,45.8763175599910
1968-07-01,44.6398566147642
1968-08-01,44.3402826360711
1968-09-01,46.3941164956237
1968-10-01,47.2642932990555
1968-11-01,47.7633195576902
1968-12-01,47.6519992187282
1969-01-01,46.6540263216596
1969-02-01,47.2288015158693
1969-03-01,47.1626663696609
1969-04-01,47.3121869782972
1969-05-01,47.5275870695166
1969-06-01,46.3961336555287
1969-07-01,45.7235564923179
1969-08-01,45.7513441605232
1969-09-01,47.7275874484172
1969-10-01,48.8695170886952
1969-11-01,48.9339343491607
1969-12-01,49.2511329722560
1970-01-01,48.2409146139401
1970-02-01,48.2077320014349
1970-03-01,48.1759272025369
1970-04-01,48.6388934810162
1970-05-01,47.9739029895942
1970-06-01,47.0428036971831
1970-07-01,46.2925300939922
1970-08-01,46.0526677101354
1970-09-01,47.2781649563738
1970-10-01,48.5566247224278
1970-11-01,48.7440764784836
1970-12-01,48.5399162538657
1971-01-01,47.8206179928904
1971-02-01,47.9136494056565
1971-03-01,47.7542662116041
1971-04-01,47.5787750647933
1971-05-01,47.9747042468517
1971-06-01,46.7127839206928
1971-07-01,45.4881898334603
1971-08-01,45.7232106478338
1971-09-01,47.6832144890600
1971-10-01,48.7402235392818
1971-11-01,49.2530458978307
1971-12-01,49.0656599703384
1972-01-01,48.4292771990119
1972-02-01,48.6881247822475
1972-03-01,49.0636203114131
1972-04-01,48.7740384615385
1972-05-01,48.8829049802709
1972-06-01,47.5076513639388
1972-07-01,46.6013228145669
1972-08-01,46.8118402206780
1972-09-01,48.5923885696125
1972-10-01,49.5226509401529
1972-11-01,49.6764993265904
1972-12-01,49.8853059825454
1973-01-01,48.7731030488126
1973-02-01,49.6227357572890
1973-03-01,49.9199664121336
1973-04-01,50.1100571248886
1973-05-01,50.3610675039246
1973-06-01,49.1587417702999
1973-07-01,48.4088063439065
1973-08-01,48.3237385709448
1973-09-01,50.4357100122259
1973-10-01,51.6325947476427
1973-11-01,51.9104562786958
1973-12-01,51.6605834692346
1974-01-01,50.6731662024141
1974-02-01,51.0469518633940
1974-03-01,51.3323045267490
1974-04-01,51.4267368691409
1974-05-01,51.6283721407324
1974-06-01,50.5338898420096
1974-07-01,50.2019943748402
1974-08-01,49.8467746054446
1974-09-01,51.5534921687669
1974-10-01,52.4852869990574
1974-11-01,52.0597440268695
1974-12-01,51.8309572818988
1975-01-01,50.5837563451777
1975-02-01,50.5373618574470
1975-03-01,50.8493455861877
1975-04-01,50.8672566371681
1975-05-01,50.8042320026261
